Asin,Title,Brand,battery WH,motor watts,WHEEL SIZE,Fat Tire,SPEED GEAR,Foldable,external,top speed,Price,Total Reviews,Throttle,disc breaks,Absorbing fork,Charge time,Weight,Days,Rating
B0948JPQ7X,"YinZhiBoo SMLRO Electric Bike E-Bike Fat Tire Electric Bicycle 26"" 4.0 Adults Ebike 1000W Removable 48V/13AH Battery Shima...",YinZhiBoo,624,1000,26,1,21,0,1,25,1299,54,31,1,1,8,70,28-Feb-22,4.5
B094MRTPPV,"SAMEBIKE 750W Fat Tire Electric Bike 26'' Electric Mountain Bike 48V/15AH Battery with Fast Charger, 25MPH Snow Beach Adul...",SAMEBIKE,720,750,26,1,7,0,1,25,1359.99,55,31,1,1,5,77,12-May-21,4.1
B08DX68T65,"ANCHEER Electric Bike Electric Mountain Bike 350W 26'' Commuter Ebike, 20MPH Adults Electric Bicycle with Removable 10.4Ah...",ANCHEER,374,350,26,0,21,0,1,20,639.99,1024,31,1,1,5,56,30-Jul-20,4.3
B0862DYNNN,"SDU 750W Folding Electric Bike SDREAM X750S, 2022 New Version, 48V 15Ah Battery, Max 28MPH, 20'' Fat Tire Ebike Adults, Fu...",SDU,720,750,20,1,7,1,1,20,1599,52,30,1,1,6,83,18-Mar-20,4.3
B083CS2HCY,"DJ Super Bike 750W 48V 13Ah Power Electric Bicycle, Matte Black, LED Bike Light, Suspension Fork and Shimano Gear",DJ,624,750,20,1,7,0,1,25,1499,53,30,1,1,6,72,21-Apr-20,4.1
B09C2PR2DP,"SOHOO 48V750W16Ah 26"" x4.0 Fat Tire Step-Over/Step-Thru Beach Cruiser Electric Bicycle City E-Bike Mountain Bike Snow eBik...",SOHOO,768,750,26,1,7,0,1,28,1549,74,30,1,1,6,67,7-Aug-21,4.8
B09C2NM9CD,"Sponsored Ad - SOHOO 48V750W16Ah 26"" x4.0 Fat Tire Step-Over/Step-Thru Beach Cruiser Electric Bicycle City E-Bike Mountain...",SOHOO,768,750,26,1,7,0,1,28,1549,74,30,1,1,6,67,7-Aug-21,4.8
B08NZX88CV,"SOHOO 48V500W13Ah 26"" Step-Thru/Step-Over Beach Cruiser Electric Bicycle City E-Bike Mountain Bike(Fit 5Ft 3in to 6Ft 8in)",SOHOO,624,500,26,0,7,0,0,25,1319,240,30,1,1,6,66,26-Nov-20,4.5
B08NZX7FTG,"Sponsored Ad - SOHOO 48V500W13Ah 26"" Step-Thru/Step-Over Beach Cruiser Electric Bicycle City E-Bike Mountain Bike(Fit 5Ft ...",SOHOO,624,500,26,0,7,0,0,25,1319,240,30,1,1,6,66,26-Nov-20,4.5
B09SB4HQ4V,"ANCHEER 350/500W Electric Bike 27.5'' Adults Electric Commuter Bike/Electric Mountain Bike, 36/48V Ebike with Removable 1...",ANCHEER,499,350,27.5,0,24,0,1,20,799.99,886,30,1,1,6,53,11-Feb-22,4.2
B09Z5VVSTW,"SOHOO 48V500W13AH 20"" x4.0 Adult Step-Over & Step-Thru Folding Fat Tire E-Bike Mountain Electric Bicycle Beach Cruiser Sno...",SOHOO,624,500,20,1,7,1,1,27,1169,158,30,1,1,5,56,24-Nov-21,4.5
B08MVWDVRR,"Sponsored Ad - SOHOO 48V500W13AH 20"" x4.0 Adult Step-Over & Step-Thru Folding Fat Tire E-Bike Mountain Electric Bicycle Be...",SOHOO,624,500,20,1,7,1,1,27,1169,158,30,1,1,5,56,24-Nov-21,4.5
B09GLSQNF4,"Electric Bike, TotGuard 26"" Fat Tire Electric Bike for Adults 500W 60MILES Ebike Foldable Adult Electric Bicycles with 21....",TotGuard,480,500,26,1,21,0,0,21.6,919.99,83,30,1,1,5,50,29-Sep-21,4.3
B087N88S3M,"ENGWE 750W Folding Electric Bike for Adults 20"" 4.0 Fat Tire Mountain Beach Snow Bicycles Aluminum Electric Scooter 7 Spee...",ENGWE,614.4,750,20,1,7,1,0,28,999.68,212,28,1,1,6,64,12-Nov-19,4
B09DG1DS9H,Electric Bike for Adults 750W Q5/Q5 Plus Ebike Bicycle 20 x 4.0'' Fat Tire Folding Electric Bike 48V 13Ah/15Ah Removable B...,LANDX Store,624,750,20,1,7,1,0,28,1299.99,82,28,1,1,7,65,14-Dec-21,4.6
B09ZXS66Q2,Electric Bike for Adults 750W Q5/Q5 Plus Ebike Bicycle 20 x 4.0'' Fat Tire Folding Electric Bike 48V 13Ah/15Ah Removable B...,LANDX Store,720,750,20,1,7,1,0,28,1249.99,82,28,1,1,7,65,10-May-22,4.6
B09D3ZXZ3R,"Electric Bike, TotGuard Electric Bike for Adults 26'' Ebike with 350W Motor, 19.8MPH Electric Mountain Bike with Lockable ...",TotGuard,374.4,350,26,0,21,0,1,19.8,579.99,128,28,1,1,5,55,#N/A,4.2
B09D41R4PD,"Electric Bike, TotGuard Electric Bike for Adults 26'' Ebike with 350W Motor, 19.8MPH Electric Mountain Bike with Lockable ...",TotGuard,374.4,350,26,0,21,0,1,19.8,669.99,128,28,1,1,5,55,#N/A,4.2
B097DNBR97,VELOWAVE Electric Mountain Bike Adults 500W 27.5'' Ebike 25MPH E Bike 48V 13Ah/15Ah Larger Battery Removable Shimano 7-Speed,VELOWAVE,624,500,27.5,0,7,0,1,20,1299,112,28,1,1,5,54.929,74,4.3
B09CZ6PT42,"Electric Bike, TotGuard Electric Bike for Adults, 26"" Ebike 350W Adult Electric Bicycles, 19.8MPH 50-60Miles Electric Moun...",Electric,374,350,26,0,21,0,1,19.8,679.99,158,28,1,1,5,45,7-Oct-21,4.2
B08W1WC29S,"Electric Bicycle, Sailnovo 14'' Electric Bike for Adults and Teenagers with 18.6MPH 45Miles Waterproof Folding Electric Bi...",Electric,374.4,450,14,0,0,1,0,18.6,559.99,333,28,1,0,6,55.11,3-Mar-21,4.3
B08JY8DG1G,"Gyroor C3 Folding Electric Bike for Adults Teens, 450W eBike with 19MPH up to 28 Miles 14in Air-Filled Tires Dual Disc Bra...",Gyroor,378,450,14,0,15,0,0,18.6,599.99,460,28,1,0,5,47.8,340,4.5
B09YT98K61,"NAKTO Electric Bike for Adult Electric Bicycle 350W Ebike 18-22MPH 45-60 Miles 26"" City Commuter Ebike Step Thru Ebikes Hi...",NAKTO,432,350,26,0,6,0,1,20,818.99,839,27.5,1,1,5,57,26-Apr-22,4.2
B09YH9XHCJ,HILAND Rockshark Electric Bike Electric Mountain Bike Aluminum 26/27.5/29 inch 350W 21MPH Adults E-Bike Shimano 21 Speed D...,HILAND,374.4,350,26,0,21,0,1,21,669.99,52,26,1,1,6,57,17-Dec-21,4.4
B08S6N2359,HILAND Rockshark Electric Bike Electric Mountain Bike Aluminum 26/27.5/29 inch 350W 21MPH Adults E-Bike Shimano 21 Speed D...,HILAND,374.4,350,26,0,21,0,1,21,699.99,52,26,1,1,6,49,17-Dec-21,4.4
B083CQ72G9,"DJ Super Bike Step Thru 750W 48V 13Ah Power Electric Bicycle, Pearl White, LED Bike Light, Suspension Fork and Shimano Gear",DJ,624,750,20,1,7,0,1,25,1499,57,25,1,1,6,72,31-Dec-19,4.5
B094MYFPK5,"SAMEBIKE XWC05 750W Electric Bikes for Adults Up to 65 Miles EBike 4.0"" Fat Tire Electric Bike 25 Mph",SAMEBIKE,624,750,20,1,7,0,1,30,1199.99,58,25,1,1,6,63.5,12-May-21,4.1
B07K4VN8KJ,"DJ Folding Bike 750W 48V 13Ah Power Electric Bicycle, Pearl White, LED Bike Light, Suspension Fork and Shimano Gear",DJ,624,750,20,1,7,1,1,23,1499,187,25,1,1,6,57,7-Mar-18,4.4
B07K4SWTNM,"DJ City Bike 750W 48V 13Ah Step-Thru Power Electric Bicycle, Pearl White, LED Bike Light, Fork Suspension and Shimano Gear",DJ,624,750,26,0,7,0,1,20,1499,143,25,1,1,6,57,#N/A,4.3
B01AU7KWXC,ANCHEER 26'' Electric Bike/Electric Mountain Bike/Commuting E-Bike for Adults | 500W/250W Rear Hub Motor | 36V 12.5Ah/8Ah ...,ANCHEER,288,250,26,0,21,0,1,15,539.99,1333,25,1,1,6,50,1-Mar-16,4.1
B09H4JZNM7,ANCHEER 26'' Electric Bike/Electric Mountain Bike/Commuting E-Bike for Adults | 500W/250W Rear Hub Motor | 36V 12.5Ah/8Ah ...,ANCHEER,450,500,26,0,21,0,1,20,729.99,1333,25,1,1,6,50,25-Sep-21,4.1
B09FQ3XHT2,"Heybike Race Electric Bike Light Weight 26"" Commuter Electric Mountain Bike Long Range, 350W Brushless Motor, Shimano 7-Sp...",Heybike,360,350,26,0,7,0,1,20,599.99,166,25,1,1,6,48.5,8-Sep-21,4.4
B091KQ19D5,"ECOTRIC 26"" Electric Bike 1000W Powerful Motor Bicycle Mountain Ebike 48V/13AH Removable Battery Suspension Fork Black Cit...",ECOTRIC,624,1000,26,0,7,0,1,20,1007.99,53,25,1,1,8,65,19-Sep-20,3.8
B09T9XBR24,"Electric Bike, Speedrid 20"" Fat Tire Electric Bike for Adults, 500W Folding Electric Mountain Bike, Adult Electric Bicycle...",Speedrid,450,500,20,1,6,1,0,20,799.99,93,25,1,1,8,59,24-Feb-22,4.4
B08NC1YRWW,"VIVI Electric Bike for Adults, 26''/27.5'' Electric Mountain Bike 350W/500W Ebike, 22MPH Adult Electric Bicycle with 48V 1...",VIVI,374.4,350,26,0,21,0,1,20,595.99,148,25,1,1,6,64,#N/A,4.4
B08NJKNG83,"VIVI Electric Bike for Adults 26''/27.5'', 350W Electric Mountain Bike with 36V 10.4Ah Removable Lithium Battery, Shimano ...",VIVI,374.4,350,27.5,0,21,0,1,20,629.99,196,25,1,1,6,58.6,16-Nov-20,4.3
B09Q88P8GB,"VIVI Electric Bike for Adults 26''/27.5'', 350W Electric Mountain Bike with 36V 10.4Ah Removable Lithium Battery, Shimano ...",VIVI,374.4,350,27.5,0,21,0,1,20,729.99,196,25,1,1,6,58.6,16-Nov-20,4.3
B09SVCKY17,"VIVI Electric Bike for Adults 26''/27.5'', 350W Electric Mountain Bike with 36V 10.4Ah Removable Lithium Battery, Shimano ...",VIVI,374.4,350,27.5,0,21,0,1,20,679.99,196,25,1,1,6,58.6,16-Nov-20,4.3
B09J2GKVY9,"VIVI Electric Bike Adult Electric Bicycle 20"" Ebike Folding Bike Electric City Bike with 350W Motor, 36V 10.4AH Removable ...",VIVI,624,350,20,0,7,1,1,20,599.99,185,25,1,1,6,55,9-Oct-21,4.2
B09PDL81NR,"VIVI Electric Bike Adult Electric Bicycle 20"" Ebike Folding Bike Electric City Bike with 350W Motor, 36V 10.4AH Removable ...",VIVI,374.4,350,20,0,7,1,1,20,579.99,185,25,1,1,6,55,9-Oct-21,4.2
B08P4M5D4B,"VIVI Electric Bike for Adults, 26''/27.5'' Electric Mountain Bike 350W/500W Ebike, 22MPH Adult Electric Bicycle with 48V 1...",VIVI,374.4,350,27.5,0,21,0,1,20,789.99,148,25,1,1,6,55,#N/A,4.4
B09BZ2ZF9K,"VIVI Folding Electric Bike for Adults 20"" x 4.0 Fat Tire Electric Bicycle 500W/350W City Ebike 48V 10.4AH Adult Electric B...",VIVI,499,500,20,1,7,1,0,20,899.99,102,25,1,1,6,54.929,25,4.4
B09KH8W78M,"ANCHEER 26'' Folding Electric Bike for Adults Power Motor Up to 20MPH, Electric Bicycle Removable Battery 15-30 Miles, Adu...",ANCHEER,288,250,26,0,21,0,1,20,629.99,159,25,1,1,6,53,27-Oct-21,4.2
B09GF51PMQ,"27.5"" Electric Bike 350W 7-Gearshift 20MPH Aluminum 700C Electric Bicycle with 36V 10.4Ah Lithium Battery, Electric Mounta...",?Speedrid,374.4,350,27.5,0,7,0,0,20,849.99,99,25,1,1,6,51,16-Sep-21,4.3
B09ZXJGRRH,"Electric Bike Adult, GELEISEN 26"" 350W Ebike Electric Mountain Bike with 36V/10Ah Removable Battery, 5 Level Pedal Assist,...",GELEISEN,360,350,26,1,7,0,0,17.5,599.99,69,25,1,1,6,49,3-Aug-21,4.3
B09CYQZGSC,"VIVI Electric Bike Electric Mountain Bike 26"" Electric Bicycles for Adults, 350W Motor Ebike with Removable 36V Lithium-Io...",VIVI,288,350,26,0,21,0,1,20,639.99,234,25,1,1,6,48.4,18-Aug-21,4.3
B094MGWM5P,"Sponsored Ad - Heybike Cityscape Electric Bike 350W Electric City Cruiser Bicycle-Up to 40 Miles- Removable Battery, Shima...",Heybike,360,350,26,0,7,0,1,19,899.99,372,25,1,1,5,59,11-May-21,4.5
B0967RTCT5,Sponsored Ad - SAMEBIKE 750W Electric Bike for Adults 25 Mph Up to 65 Miles Fat Tire Electric Bike with 48V 13Ah Battery 2...,SAMEBIKE,624,750,20,1,7,0,1,25,1299.99,13,25,1,1,5,54.929,31,3.9
B0924BLBMK,"Folding Electric Bike for Adults, 20MPH Electric Mountain Bike, 20 inch 350W Adults Dirt E Bike Shimano 7 Speed Disc Brake...",KGK,374.4,350,20,0,7,1,1,19.8,684.99,50,25,1,0,5,49,13-Apr-21,4.1
B09YSZ5776,"NAKTO Electric Bike for Adult Electric Bicycle 350W Ebike 18-22MPH 45-60 Miles 26"" City Commuter Ebike Step Thru Ebikes Hi...",NAKTO,360,250,26,0,6,0,1,20,689.99,839,25,0,1,6,56,26-Apr-22,4.2
B09VNWLDNW,"NAKTO 26'' Electric Bike for Adult, Cargo Electric Bicycle Camel Style, 250W/350W Brushless Motor and 10.5Ah Removable Lit...",NAKTO,378,350,26,0,6,0,1,16,738.9,57,25,0,1,6,60,16-Mar-22,4.2
B09YT3YV33,"NAKTO Electric Bike for Adult Electric Bicycle 350W Ebike 18-22MPH 45-60 Miles 26"" City Commuter Ebike Step Thru Ebikes Hi...",NAKTO,432,350,26,0,6,0,1,20,879.99,839,25,0,0,5,56,26-Apr-22,4.2
B08LYTB58M,"VIVI Electric Bike, 26 inch Electric Bike for Adults, Folding Electric Mountain 350W Motor, Professional 21 Speed Gears wi...",VIVI,288,350,26,0,21,0,1,20,639.99,436,23.5,1,1,5,64,15-Oct-20,4.3
B091JQHLM4,"ECOTRIC Electric Bike 500W Folding Ebike 20"" Fat Tire Foldable Electric Bicycle 48V 13AH Lithium Removable Battery Beach S...",ECOTRIC,624,500,20,1,7,1,1,22,969.99,102,23,1,0,8,58,#N/A,4.2
B09CCX3416,"NAKTO Electric Bike for Adults 26"" 250W/350W Electric Bicycle for Man Women High Speed Brushless Gear Motor 6-Speed Gear S...",NAKTO,432,350,26,0,6,0,1,20,859.99,169,22,1,1,6,57,2-Jun-21,4.2
B09JGC8CYX,"ANCHEER Folding Electric Bike Ebike, 20'' Electric Commuter Bicycle with 10AH Removable Lithium-Ion Battery, 48V 350W Moto...",ANCHEER,480,350,20,0,7,1,0,20,729.99,235,22,1,1,6,55,15-Oct-20,4.2
B08L35ZDC5,"VIVI Electric Bike for Adults, 350W Folding Electric Bike 20'' Adults Electric Bicycle, Ebikes for Adults 20Mph with 10.4A...",VIVI,374.4,350,20,0,6,1,1,20,659.99,73,22,1,1,6,50,12-Oct-20,4.1
B07GDDGMZS,"NAKTO 26"" Electric Bike 250W City-Electric Bikes for Adults Sporting 6-Speed Gear Electric Bicycle 36V10A Removable Batter...",NAKTO,360,250,26,0,6,0,1,20,699.99,129,22,1,1,6,56,#N/A,4.1
B08T5V1XYG,"AOSTIRMOTOR Electric Mountain Bike, 750W Motor&48V 13AH Battery Ebike with Rack and Fender, 26 * 4.0 Inch Fat Tire Bike, E...",AOSTIRMOTOR,624,750,26,1,7,0,1,22,1309,100,22,1,1,6,77,15-Jan-21,3.7
B08CB52GBD,"NAKTO Electric Bikes for Adults, 350W Electric Bicycle 26"" E-Bike 6 Speed Gear with 36V 10.8AH/12Ah Lithium Battery, Charg...",NAKTO,432,350,26,0,6,0,1,16.5,749.99,52,22,1,1,6,60,1-Jan-20,4.1
B095YJ7RNC,"VIVI Electric Bike for Adults, 26''/27.5'' Electric Mountain Bike 350W/500W Ebike, 22MPH Adult Electric Bicycle with 48V 1...",VIVI,499.2,500,27.5,0,21,0,1,25,849.99,148,22,1,1,6,55,27-May-21,4.4
B09J87L89P,"VIVI Electric Bike for Adults, 26''/27.5'' Electric Mountain Bike 350W/500W Ebike, 22MPH Adult Electric Bicycle with 48V 1...",VIVI,288,350,26,0,21,0,1,15.5,679.99,148,22,1,1,6,55,#N/A,4.4
B08QHH3H2M,"VIVI Folding Electric Bike for Adults 20"" x 4.0 Fat Tire Electric Bicycle 500W/350W City Ebike 48V 10.4AH Adult Electric B...",VIVI,288,350,20,0,7,1,0,20,699.99,102,22,1,1,6,55,14-Dec-20,4.4
B08R8ZC5DP,"VIVI Electric Bike 20"" x 4.0 Fat Tire Folding Electric Bicycle 500W/350W Folding Ebike for Adults with 48V 10.4AH Removabl...",VIVI,288,350,20,0,7,1,0,20,674.99,101,22,1,1,6,55,23-Dec-20,4.1
B08JFTM1KN,"Sponsored Ad - ANCHEER 350/500W Electric Bike 27.5'' Adults Electric Commuter Bike/Electric Mountain Bike, 36/48V Ebike wi...",ANCHEER,480,500,27.5,0,24,0,1,20,879.99,886,22,1,1,6,53,599,4.2
B08JGBGFN4,"Sponsored Ad - ANCHEER 27.5'' Electric Bike 48V 350/500W Electric Mountain Bike with Large Capacity Battery, Adults Mans E...",ANCHEER,480,500,27.5,0,21,0,1,20,879.99,321,22,1,1,6,53,18-Sep-20,4.2
B08P8K1LW4,"VIVI Electric Bike for Adults, Electric Mountain Bike 26"" Electric Bicycle 350W/500W Ebike, 20MPH Adult Electric Bicycles ...",VIVI,288,350,26,0,21,0,1,20,699.99,134,22,1,1,6,53,#N/A,4.3
B08ZKPVT1B,"Folding Electric Bike, Yovital 20"" Electric Bikes for Adults with Removable Battery 36v/10ah, 350W Aluminum Foldable Elect...",Yovital,360,350,20,0,7,1,0,20,616.99,77,22,1,1,6,53,20-Mar-21,4.2
B09JZB1676,"VIVI Electric Bike, 26/20 Inch Electric Bicycle for Adults, 350W City Cruiser Ebike with 36V Removable Battery, Shimano 7 ...",VIVI,374.4,350,20,0,7,1,1,20,719.99,167,22,1,1,6,51,23-Oct-21,4.3
B08DY2B9BY,"ANCHEER Electric Bike Electric Mountain Bike 350W 26'' Commuter Ebike, 20MPH Adults Electric Bicycle with Removable 10.4Ah...",ANCHEER,374.4,350,26,0,21,0,1,20,609.99,1024,22,1,1,6,44,30-Jul-20,4.3
B07SSBDF5P,"NAKTO 350W Electric Bike 26"" Commuting E-Bike 6 Speed Electric Bikes for Adults City Ebike for Women High Speed Electric B...",NAKTO,432,350,26,0,7,0,1,21,779.99,113,22,1,1,5,75,972,4
B08PV6N8MF,"VIVI Electric Bike for Adults, Electric Mountain Bike 26"" Electric Bicycle 350W/500W Ebike, 20MPH Adult Electric Bicycles ...",VIVI,288,350,26,0,21,0,1,20,709.99,134,22,1,1,5,64,266,4.3
B08LPWCJ2L,"VIVI Electric Bike for Adults, 350W Folding Electric Mountain Bike 26'' Ebike, 20MPH Adult Electric Bicycle with Removable...",VIVI,288,350,26,0,21,1,1,20,639.99,290,22,1,1,5,60,23-Oct-20,4.3
B07SMXW2F6,"ANCHEER Electric Bike Electric Mountain Bike 350W 26'' Commuter Ebike, 20MPH Adults Electric Bicycle with Removable 10.4Ah...",ANCHEER,374,350,26,0,21,0,1,20,629.99,1024,22,1,1,5,44,530,4.3
B01N76ETKD,"NAKTO Electric Bike for Adults 26"" 250/350W Electric Bicycle for Man and Women with High Speed Brushless Gear Motor 6-Spee...",NAKTO,374.4,350,26,0,6,0,1,18,898.88,248,22,0,1,6,70,18-Nov-16,4.2
B07WVCRYT4,"NAKTO Electric Bikes for Adults, 350W Electric Bicycle 26"" E-Bike 6 Speed Gear with 36V 10.8AH/12Ah Lithium Battery, Charg...",NAKTO,388.8,350,26,0,6,0,1,22,779.99,52,22,0,1,6,63,1-May-19,4.1
B07JGRJHV1,"Sponsored Ad - Nakto Electric Bicycle 250W/350W Electric City Cruiser Bicycle-Up to 40 Miles- Removable Battery, Shimano ...",Nakto,360,350,26,0,6,0,1,19,679.99,188,22,0,1,6,60,16-Oct-18,4.1
B09TPBGSKY,"Nakto Electric Bicycle 250W/350W Electric City Cruiser Bicycle-Up to 40 Miles- Removable Battery, Shimano 6-Speed and Dual...",Nakto,360,350,26,0,6,0,1,19,699.99,188,22,0,1,6,60,1-Mar-22,4.1
B09QWWPHFR,"NAKTO Electric Bikes for Adults, 350W Electric Bicycle 26"" E-Bike 6 Speed Gear with 36V 10.8AH/12Ah Lithium Battery, Charg...",NAKTO,432,350,26,0,6,0,1,22,659.68,52,22,0,1,6,60,21-Jan-22,4.1
B07RWZX59Y,"NAKTO 22"" Electric Bike 250W Electric Bicycle Sporting City Ebike for Female with 36V 10Ah Lithium Battery",NAKTO,360,250,22,0,5,0,1,20,649.99,142,22,0,1,6,56,#N/A,4.2
B01N53K4OC,"NAKTO Electric Bike for Adults 26"" 250W Electric Bicycle for Man Women High Speed Brushless Gear Motor 6-Speed Gear Speed ...",NAKTO,360,250,26,0,6,0,1,18,658.88,140,22,0,1,5,50,#N/A,4.1
B07GR75FCY,Swagtron EB-8 Outlaw 20” Fat Tire eBike with Enclosed Removable 36V Battery 350W Motor Power Off-Road Foldable Electric Bi...,Swagtron,316.8,350,20,1,7,1,0,18.6,1133.06,86,21.4,1,1,6,56.2,22-Aug-18,4.4
B09S3L9P7W,"ECOTRIC Electric Bike 26"" E Bike 350W Motor Cruiser Electric Bicycles Removable 36V 10AH Lithium Battery Commute Step-Thro...",ECOTRIC,360,350,26,0,7,0,1,21,769.99,200,21,1,1,8,55,8-Feb-22,4.2
B09TB82LXD,"MICLON Cybertrack 100 Electric Bike for Adults, 2X Faster Charge, 350W BAFANG Motor, 36V 10.4AH Removable Battery, 20MPH 2...",MICLON,374.4,350,26,0,21,0,0,20,799.99,74,21,1,1,3,50.79,24-Feb-22,4.3
B078R1HMFW,"NAKTO Electric Bike 250W/350W Electric City Bicycle-Up to 30 Miles- Removable Battery, Shimano 6-Speed and 36V10A Battery,...",NAKTO,360,250,26,0,6,0,1,20,658.88,109,20,1,1,6,70,#N/A,4.2
B09C8HW7KQ,"NAKTO Electric Bike for Adults 26"" 250W/350W Electric Bicycle for Man Women High Speed Brushless Gear Motor 6-Speed Gear S...",NAKTO,360,250,26,0,6,0,1,20,689.88,169,20,1,1,6,69,10-Aug-21,4.2
B09C8H51WX,"NAKTO Electric Bike for Adults 26"" 250W/350W Electric Bicycle for Man Women High Speed Brushless Gear Motor 6-Speed Gear S...",NAKTO,360,250,26,0,6,0,1,20,729.99,169,20,1,1,6,69,10-Aug-21,4.2
B08D3G3R2R,"Speedrid Electric Bike 48V 500W Fat Tire Electric Bike Snow Bike 26"" 4.0, 48V 10Ah Removable Battery and Professional 7 Speed",Speedrid,480,500,26,1,6,0,0,22,939.99,228,20,1,1,8,59,343,4.3
B08B84PJTT,"Sponsored Ad - MZZK Electric Bike for Adults, 750W Motor 20+MPH Mountain Electric Bicycle with Removable 48V 12.8Ah Larger...",MZZK,614.4,500,28,0,7,0,1,20,1298,53,20,1,1,6,68,1-Jan-21,4.7
B094VHGH3H,"MZZK Electric Bike for Adults, 750W Motor 20+MPH Mountain Electric Bicycle with Removable 48V 12.8Ah Larger Battery, 500W ...",MZZK,614.4,750,26,1,7,0,1,20,1298,53,20,1,1,6,68,18-May-21,4.7
B09C1ZGMKS,"Sponsored Ad - VIVI Electric Bike 20"" x 4.0 Fat Tire Folding Electric Bicycle 500W/350W Folding Ebike for Adults with 48V ...",VIVI,499.2,500,20,1,7,1,0,23,899.99,101,20,1,1,6,63.9,5-Aug-21,4.1
B00OEXUU5Y,"VIVI Folding Electric Bike Electric Mountain Bike 26"" Lightweight Electric Bicycle 350W Ebike, Electric Bike for Adults wi...",VIVI,288,350,26,0,21,0,1,21,699.99,76,20,1,1,6,60,12-Dec-20,4.2
B09VKTXKRR,"Electric Bike, Sailnovo Electric Bicycle with 18.5mph Electric Bikes for Adults Teens E Bike with Pedals, 14"" Waterproof F...",Sailnovo,374.4,350,14,0,1,1,0,18.6,469.99,202,20,1,1,6,55,10-Mar-21,4.4
B08N4ZQ7PG,"Electric Bike, Sailnovo Electric Bicycle with 18.5mph Electric Bikes for Adults Teens E Bike with Pedals, 14"" Waterproof F...",Sailnovo,374.4,350,14,0,1,1,0,18.6,559.99,202,20,1,1,6,55,10-Mar-21,4.4
B01N80AFFE,"NAKTO 350W/500W/750W Electric Bike 26"" Fat Tire Electric Bicycle 36V10AH,48V12AH/15.6AH Lithium Battery Beach Snow Mountai...",NAKTO,360,350,26,1,6,0,1,20,999.99,83,20,1,1,5.2,54.929,734,3.5
B094N42BLN,"Heybike Cityscape Electric Bike 350W Electric City Cruiser Bicycle-Up to 40 Miles- Removable Battery, Shimano 7-Speed and ...",Heybike,360,350,26,0,7,0,1,19,899.99,372,20,1,1,5.2,54.929,111,4.5
B08WYGZH45,"Aostirmotor Folding Electric Bike 20 inch Fat Tire Electric Bicycle with 500W Motor 36V 13AH Removable Lithium Battery,ebi...",Aostirmotor,468,500,20,1,7,1,1,25,799,67,20,1,1,5,64,192,4.1
